Id_sentence	Reference	Prediction
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
0	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ
1	ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlɤcu tɕe luomtɕoʁ ŋu	ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlocu tɕe luomtɕoʁ ŋu
1	ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlɤcu tɕe luomtɕoʁ ŋu	ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlocu tɕe luomtɕoʁ ŋu
